	H1_1	H1_2	H1_3	H1_4	H1_5	H1_6	H2_1	H2_2	H2_3	H2_4	H2_5	H2_6	H3_1	H3_2	H3_3	H3_4	H3_5	H3_6	BS1	BS2	BS3
d__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Solibacterales;f__Solibacteraceae_(Subgroup_3);g__PAUC26f;s__uncultured_soil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Solibacterales;f__Solibacteraceae_(Subgroup_3);g__PAUC26f;s__uncultured_Solibacteraceae	0	0	6	0	0	0	0	5	0	5	2	6	0	3	0	0	0	0	5	0	0
d__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Solibacterales;f__Solibacteraceae_(Subgroup_3);g__unclassified_Solibacteraceae_(Subgroup_3);s__unclassified_Solibacteraceae_(Subgroup_3)	0	0	0	0	0	1	0	2	5	3	1	0	0	0	0	3	0	5	0	6	0
d__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Subgroup_2;f__Subgroup_2;g__Subgroup_2;s__unclassified_Subgroup_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Subgroup_2;f__Subgroup_2;g__Subgroup_2;s__uncultured_Acidobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Subgroup_2;f__Subgroup_2;g__Subgroup_2;s__uncultured_bacterium	17	0	17	11	0	0	0	0	4	5	2	0	22	2	0	0	16	10	8	0	0
d__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Subgroup_2;f__Subgroup_2;g__Subgroup_2;s__uncultured_soil	2	0	10	7	0	0	0	0	6	0	0	0	0	0	0	0	6	0	0	7	0
d__Bacteria;p__Acidobacteria;c__AT-s3-28;o__AT-s3-28;f__AT-s3-28;g__AT-s3-28;s__unclassified_AT-s3-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
d__Bacteria;p__Acidobacteria;c__AT-s3-28;o__AT-s3-28;f__AT-s3-28;g__AT-s3-28;s__uncultured_bacterium	7	5	0	8	0	2	0	7	15	5	11	3	26	6	14	0	0	0	0	9	5
d__Bacteria;p__Acidobacteria;c__AT-s3-28;o__AT-s3-28;f__AT-s3-28;g__AT-s3-28;s__unidentified	8	0	15	0	11	0	0	0	0	0	0	16	0	0	22	0	0	26	0	0	0
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__11-24;f__11-24;g__11-24;s__metagenome	42	20	14	4	23	25	22	29	20	27	13	14	12	16	18	8	10	9	27	31	15
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__11-24;f__11-24;g__11-24;s__unclassified_11-24	23	69	46	12	44	109	14	74	16	14	35	5	34	6	77	31	1	46	54	52	67
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__11-24;f__11-24;g__11-24;s__uncultured_Acidobacteria	31	7	26	28	22	74	24	12	15	25	17	28	13	0	68	28	24	34	39	14	30
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__11-24;f__11-24;g__11-24;s__uncultured_Acidobacteriales	0	10	0	0	0	0	10	14	0	8	9	0	7	0	0	12	16	7	0	0	16
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__11-24;f__11-24;g__11-24;s__uncultured_bacterium	26	7	5	27	29	120	19	12	32	42	0	39	4	15	36	0	55	44	36	0	154
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__Blastocatellales;f__Blastocatellaceae;g__Aridibacter;s__unclassified_Aridibacter	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__Blastocatellales;f__Blastocatellaceae;g__Aridibacter;s__uncultured_Acidobacteria	4	18	12	14	0	13	19	20	10	27	10	30	29	3	22	26	14	17	22	44	61
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__Blastocatellales;f__Blastocatellaceae;g__Aridibacter;s__uncultured_Acidobacterium	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__Blastocatellales;f__Blastocatellaceae;g__Aridibacter;s__uncultured_bacterium	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__Blastocatellales;f__Blastocatellaceae;g__Blastocatella;s__unclassified_Blastocatella	3	5	0	0	0	20	0	0	6	0	2	0	0	0	0	3	0	0	0	22	23
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__Blastocatellales;f__Blastocatellaceae;g__Blastocatella;s__uncultured_Acidobacteria	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__Blastocatellales;f__Blastocatellaceae;g__JGI_0001001-H03;s__unclassified_JGI_0001001-H03	9	5	21	0	37	9	14	26	21	0	13	16	9	7	116	34	25	10	83	27	6
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__Blastocatellales;f__Blastocatellaceae;g__JGI_0001001-H03;s__uncultured_Acidobacterium	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__Blastocatellales;f__Blastocatellaceae;g__JGI_0001001-H03;s__uncultured_bacterium	14	8	7	22	5	12	21	14	3	0	6	26	6	0	13	11	19	0	19	6	9
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__Blastocatellales;f__Blastocatellaceae;g__Stenotrophobacter;s__unclassified_Stenotrophobacter	14	0	0	0	0	8	0	0	14	0	0	6	0	1	0	0	0	0	5	0	9
