	taxonomy
ASV_1711	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__SC-I-84; g__SC-I-84; s__unclassified_SC-I-84
ASV_1712	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Microtrichales; f__uncultured; g__uncultured; s__uncultured_bacterium
ASV_1713	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Sandaracinaceae; g__uncultured; s__unclassified_uncultured
ASV_1714	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__uncultured_Acidobacteria
ASV_1715	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__unclassified_RB41
ASV_1716	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Tistrellales; f__Geminicoccaceae; g__Candidatus_Alysiosphaera; s__uncultured_bacterium
ASV_1717	d__Bacteria; p__Planctomycetes; c__OM190; o__OM190; f__OM190; g__OM190; s__uncultured_bacterium
ASV_1718	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__uncultured; f__uncultured; g__uncultured; s__uncultured_bacterium
ASV_1719	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__unclassified_Subgroup_6
ASV_1720	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__unclassified_RB41
ASV_1721	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae; g__uncultured; s__unclassified_uncultured
ASV_1722	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__uncultured_Acidobacteria
ASV_1723	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Rhodoplanes; s__unclassified_Rhodoplanes
ASV_1724	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__SBR1031; g__SBR1031; s__uncultured_soil
ASV_1725	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Nitrosomonadaceae; g__Ellin6067; s__unclassified_Ellin6067
ASV_1726	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__unclassified_Subgroup_6
ASV_1727	d__Bacteria; p__Acidobacteria; c__Holophagae; o__Subgroup_7; f__Subgroup_7; g__Subgroup_7; s__unclassified_Subgroup_7
ASV_1728	d__Bacteria; p__Chloroflexi; c__TK10; o__TK10; f__TK10; g__TK10; s__uncultured_Chloroflexus
ASV_1729	d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__S085; f__S085; g__S085; s__uncultured_soil
ASV_1730	d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__CL500-3; s__uncultured_bacterium
ASV_1731	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus_idriensis
ASV_1732	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__uncultured_Acidobacteriaceae
ASV_1733	d__Bacteria; p__Chloroflexi; c__TK10; o__TK10; f__TK10; g__TK10; s__uncultured_bacterium
ASV_1734	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__SBR1031; g__SBR1031; s__uncultured_compost
ASV_1735	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__uncultured_Acidobacteriaceae
ASV_1736	d__Bacteria; p__Acidobacteria; c__Holophagae; o__Subgroup_7; f__Subgroup_7; g__Subgroup_7; s__unclassified_Subgroup_7
ASV_1737	d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Roseiflexaceae; g__uncultured; s__uncultured_soil
ASV_1738	d__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__Marine_Group_II; f__Marine_Group_II; g__Marine_Group_II; s__uncultured_archaeon
ASV_1739	d__Bacteria; p__Acidobacteria; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__Subgroup_10; s__uncultured_Holophaga
ASV_1740	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__BIrii41; g__BIrii41; s__uncultured_bacterium
ASV_1741	d__Bacteria; p__Gemmatimonadetes; c__BD2-11_terrestrial_group; o__BD2-11_terrestrial_group; f__BD2-11_terrestrial_group; g__BD2-11_terrestrial_group; s__uncultured_soil
ASV_1742	d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__Solirubrobacter; s__uncultured_bacterium
ASV_1743	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__unclassified_Subgroup_6
ASV_1744	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__uncultured; f__uncultured; g__uncultured; s__uncultured_Acidimicrobiales
ASV_1745	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Lysobacter; s__Lysobacter_soli
ASV_1746	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__SWB02; s__unclassified_SWB02
ASV_1748	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__Acidobacterium_sp.
ASV_1750	d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__metagenome
ASV_1751	d__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__Opitutus; s__unclassified_Opitutus
ASV_1752	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__SBR1031; g__SBR1031; s__uncultured_bacterium
ASV_1753	d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96; s__unclassified_KD4-96
ASV_1754	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__unclassified_RB41
ASV_1756	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__unclassified_Subgroup_6
ASV_1757	d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Roseiflexaceae; g__uncultured; s__uncultured_Chloroflexaceae
ASV_1758	d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96; s__unclassified_KD4-96
ASV_1759	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__unclassified_Subgroup_6
ASV_1760	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Unknown_Order; f__Unknown_Family; g__Vicinamibacter; s__unclassified_Vicinamibacter
ASV_1761	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__unclassified_Sphingomonas
ASV_1762	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__uncultured; g__uncultured; s__uncultured_alpha
ASV_1763	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__BIrii41; g__BIrii41; s__unclassified_BIrii41
ASV_1764	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__unclassified_RB41
ASV_1765	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__unclassified_Pedobacter
ASV_1766	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__PB19; f__PB19; g__PB19; s__uncultured_bacterium
ASV_1767	d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__uncultured; s__metagenome
ASV_1769	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__SBR1031; g__SBR1031; s__uncultured_soil
ASV_1770	d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides; s__uncultured_bacterium
ASV_1771	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__11-24; f__11-24; g__11-24; s__uncultured_Acidobacteria
ASV_1772	d__Bacteria; p__Latescibacteria; c__Latescibacteria; o__Latescibacteria; f__Latescibacteria; g__Latescibacteria; s__uncultured_Acidobacterium
ASV_1773	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Terrimonas; s__uncultured_bacterium
ASV_1774	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__unclassified_Subgroup_6
ASV_1775	d__Bacteria; p__Planctomycetes; c__Pla4_lineage; o__Pla4_lineage; f__Pla4_lineage; g__Pla4_lineage; s__metagenome
ASV_1776	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__uncultured_Acidobacteriaceae
ASV_1777	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__unclassified_RB41
ASV_1778	d__Bacteria; p__Gemmatimonadetes; c__BD2-11_terrestrial_group; o__BD2-11_terrestrial_group; f__BD2-11_terrestrial_group; g__BD2-11_terrestrial_group; s__uncultured_bacterium
ASV_1779	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Cytophagales; f__Microscillaceae; g__uncultured; s__unclassified_uncultured
ASV_1780	d__Bacteria; p__Rokubacteria; c__NC10; o__Rokubacteriales; f__Rokubacteriales; g__Rokubacteriales; s__uncultured_bacterium
ASV_1781	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Terrimonas; s__unclassified_Terrimonas
ASV_1782	d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Solibacterales; f__Solibacteraceae_(Subgroup_3); g__Bryobacter; s__unclassified_Bryobacter
ASV_1783	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__uncultured; s__unclassified_uncultured
ASV_1784	d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__Solirubrobacter; s__uncultured_bacterium
ASV_1785	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfarculales; f__Desulfarculaceae; g__uncultured; s__uncultured_bacterium
ASV_1786	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__TRA3-20; g__TRA3-20; s__uncultured_gamma
ASV_1787	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__uncultured; s__unclassified_uncultured
ASV_1788	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__SWB02; s__uncultured_bacterium
ASV_1789	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__unclassified_Pedobacter
ASV_1790	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Haliangiaceae; g__Haliangium; s__unclassified_Haliangium
ASV_1791	d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__67-14; g__67-14; s__uncultured_bacterium
ASV_1792	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; s__metagenome
ASV_1793	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Microtrichales; f__Iamiaceae; g__Iamia; s__uncultured_bacterium
ASV_1794	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Blastocatellales; f__Blastocatellaceae; g__unclassified_Blastocatellaceae; s__unclassified_Blastocatellaceae
ASV_1795	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__unclassified_Sphingomonas
ASV_1796	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Reyranellales; f__Reyranellaceae; g__uncultured; s__unclassified_uncultured
ASV_1797	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Reyranellales; f__Reyranellaceae; g__uncultured; s__uncultured_bacterium
ASV_1798	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__TRA3-20; g__TRA3-20; s__unclassified_TRA3-20
ASV_1799	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Nitrosomonadaceae; g__MND1; s__unclassified_MND1
ASV_1800	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__SBR1031; g__SBR1031; s__uncultured_soil
ASV_1801	d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96; s__unclassified_KD4-96
ASV_1802	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__unclassified_Sphingomonas
ASV_1803	d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__unclassified_uncultured
ASV_1804	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__unclassified_Subgroup_6
ASV_1805	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__uncultured; s__uncultured_Haliscomenobacter
ASV_1806	d__Bacteria; p__Rokubacteria; c__NC10; o__Rokubacteriales; f__Rokubacteriales; g__Rokubacteriales; s__uncultured_bacterium
ASV_1807	d__Bacteria; p__Rokubacteria; c__NC10; o__Rokubacteriales; f__Rokubacteriales; g__Rokubacteriales; s__uncultured_bacterium
ASV_1808	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__unclassified_RB41
ASV_1809	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__PB19; f__PB19; g__PB19; s__uncultured_bacterium
ASV_1810	d__Bacteria; p__Acidobacteria; c__Subgroup_17; o__Subgroup_17; f__Subgroup_17; g__Subgroup_17; s__uncultured_Acidobacteria
ASV_1811	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium; s__unclassified_Sphingobacterium
ASV_1812	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Cytophagales; f__Microscillaceae; g__Ohtaekwangia; s__metagenome
ASV_1813	d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured_Nitrospira
ASV_1814	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Pedomicrobium; s__unclassified_Pedomicrobium
ASV_1815	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__unclassified_Subgroup_6
ASV_1816	d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae; g__unclassified_Micromonosporaceae; s__unclassified_Micromonosporaceae
ASV_1817	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__metagenome
ASV_1818	d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces; s__unclassified_Streptomyces
ASV_1819	d__Bacteria; p__Acidobacteria; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__Subgroup_10; s__unclassified_Subgroup_10
ASV_1820	d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides; s__Nocardioides_albus
ASV_1821	d__Bacteria; p__Fibrobacteres; c__Fibrobacteria; o__Fibrobacterales; f__Fibrobacteraceae; g__uncultured; s__uncultured_bacterium
ASV_1822	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured; s__uncultured_soil
ASV_1823	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__unclassified_Sphingomonas
ASV_1824	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__P3OB-42; g__P3OB-42; s__uncultured_bacterium
ASV_1825	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Salinisphaerales; f__Solimonadaceae; g__Polycyclovorans; s__unclassified_Polycyclovorans
ASV_1826	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__unclassified_Subgroup_6
ASV_1827	d__Bacteria; p__Acidobacteria; c__Subgroup_25; o__Subgroup_25; f__Subgroup_25; g__Subgroup_25; s__uncultured_bacterium
ASV_1828	d__Bacteria; p__Acidobacteria; c__Subgroup_5; o__Subgroup_5; f__Subgroup_5; g__Subgroup_5; s__uncultured_Acidobacteria
ASV_1830	d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__uncultured; s__metagenome
ASV_1831	d__Bacteria; p__Acidobacteria; c__Holophagae; o__Subgroup_7; f__Subgroup_7; g__Subgroup_7; s__unclassified_Subgroup_7
ASV_1832	d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Solibacterales; f__Solibacteraceae_(Subgroup_3); g__Bryobacter; s__unclassified_Bryobacter
ASV_1833	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__uncultured; f__uncultured; g__uncultured; s__uncultured_Acidimicrobiales
ASV_1834	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__uncultured_Acidobacteriales
ASV_1835	d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured_bacterium
ASV_1836	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium; s__unclassified_Phenylobacterium
ASV_1837	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__Ilumatobacter; s__unclassified_Ilumatobacter
ASV_1838	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__uncultured; s__unclassified_uncultured
ASV_1839	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__IMCC26256; f__IMCC26256; g__IMCC26256; s__unclassified_IMCC26256
ASV_1840	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__uncultured; f__uncultured; g__uncultured; s__unclassified_uncultured
ASV_1841	d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__uncultured; f__uncultured; g__uncultured; s__uncultured_bacterium
ASV_1842	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__uncultured_Acidobacteriales
ASV_1843	d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__Solirubrobacter; s__metagenome
ASV_1844	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Rhodoplanes; s__unclassified_Rhodoplanes
ASV_1845	d__Bacteria; p__Chloroflexi; c__P2-11E; o__P2-11E; f__P2-11E; g__P2-11E; s__uncultured_bacterium
ASV_1846	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Reyranellales; f__Reyranellaceae; g__Reyranella; s__unclassified_Reyranella
ASV_1847	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Polyangiaceae; g__Pajaroellobacter; s__unclassified_Pajaroellobacter
ASV_1848	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfarculales; f__Desulfarculaceae; g__uncultured; s__unclassified_uncultured
ASV_1849	d__Bacteria; p__Planctomycetes; c__Pla4_lineage; o__Pla4_lineage; f__Pla4_lineage; g__Pla4_lineage; s__metagenome
ASV_1850	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Variovorax; s__unclassified_Variovorax
ASV_1852	d__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__Pedosphaeraceae; s__uncultured_Verrucomicrobia
ASV_1853	d__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Chthoniobacterales; f__Xiphinematobacteraceae; g__Candidatus_Xiphinematobacter; s__metagenome
ASV_1854	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__unclassified_Subgroup_6
ASV_1855	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Blastocatellales; f__Blastocatellaceae; g__unclassified_Blastocatellaceae; s__unclassified_Blastocatellaceae
ASV_1857	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Diplorickettsiales; f__Diplorickettsiaceae; g__Aquicella; s__uncultured_bacterium
ASV_1858	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__Acidobacteria_bacterium
ASV_1859	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__unclassified_Subgroup_6
ASV_1860	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Nitrosomonadaceae; g__MND1; s__unclassified_MND1
ASV_1861	d__Bacteria; p__Chloroflexi; c__OLB14; o__OLB14; f__OLB14; g__OLB14; s__uncultured_bacterium
ASV_1862	d__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Rubritaleaceae; g__Luteolibacter; s__Haloferula_sp.
ASV_1863	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Haliangiaceae; g__Haliangium; s__unclassified_Haliangium
ASV_1864	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__CL500-29_marine_group; s__uncultured_bacterium
ASV_1865	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__unclassified_Subgroup_6
ASV_1866	d__Bacteria; p__Dependentiae; c__Babeliae; o__Babeliales; f__Vermiphilaceae; g__Vermiphilaceae; s__unclassified_Vermiphilaceae
ASV_1867	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__TRA3-20; g__TRA3-20; s__unclassified_TRA3-20
ASV_1868	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__unclassified_RB41
ASV_1869	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Ellin6055; s__unclassified_Ellin6055
ASV_1870	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__unclassified_Subgroup_6
ASV_1872	d__Bacteria; p__Gemmatimonadetes; c__Longimicrobia; o__Longimicrobiales; f__Longimicrobiaceae; g__Longimicrobiaceae; s__unclassified_Longimicrobiaceae
ASV_1873	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Luteimonas; s__unclassified_Luteimonas
ASV_1874	d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__S085; f__S085; g__S085; s__unclassified_S085
ASV_1875	d__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Isosphaerales; f__Isosphaeraceae; g__uncultured; s__uncultured_bacterium
ASV_1876	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__SBR1031; g__SBR1031; s__uncultured_bacterium
ASV_1877	d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured_Gemmatimonadetes
ASV_1878	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__unclassified_RB41
ASV_1879	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__unclassified_RB41
ASV_1880	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__UTBCD1; s__uncultured_bacterium
ASV_1881	d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__uncultured; s__metagenome
ASV_1882	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__SWB02; s__uncultured_bacterium
ASV_1883	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Nitrosomonadaceae; g__Ellin6067; s__unclassified_Ellin6067
ASV_1884	d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__unclassified_uncultured
ASV_1885	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__unclassified_Subgroup_6
ASV_1886	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Nitrosomonadaceae; g__MND1; s__unclassified_MND1
ASV_1887	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__unclassified_RB41
ASV_1888	d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Frankiales; f__Sporichthyaceae; g__Sporichthya; s__uncultured_bacterium
ASV_1889	d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Frankiales; f__Sporichthyaceae; g__Sporichthya; s__metagenome
ASV_1890	d__Bacteria; p__Actinobacteria; c__0319-7L14; o__0319-7L14; f__0319-7L14; g__0319-7L14; s__uncultured_bacterium
ASV_1891	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__uncultured; s__unclassified_uncultured
ASV_1892	d__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__uncultured_Green
