	taxonomy
ASV_46	d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Aeromicrobium; s__unclassified_Aeromicrobium
ASV_47	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__unclassified_RB41
ASV_48	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium; s__unclassified_Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ASV_49	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__KF-JG30-B3; g__KF-JG30-B3; s__uncultured_bacterium
ASV_50	d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96; s__unclassified_KD4-96
ASV_51	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__IMCC26256; f__IMCC26256; g__IMCC26256; s__unclassified_IMCC26256
ASV_52	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__unclassified_RB41
ASV_53	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__unclassified_Subgroup_6
ASV_54	d__Bacteria; p__Actinobacteria; c__MB-A2-108; o__MB-A2-108; f__MB-A2-108; g__MB-A2-108; s__uncultured_bacterium
ASV_55	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__IMCC26256; f__IMCC26256; g__IMCC26256; s__unclassified_IMCC26256
ASV_56	d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__unclassified_uncultured
ASV_57	d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces; s__unclassified_Streptomyces
ASV_58	d__Bacteria; p__Gemmatimonadetes; c__AKAU4049; o__AKAU4049; f__AKAU4049; g__AKAU4049; s__unclassified_AKAU4049
ASV_59	d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured_Gemmatimonas
ASV_60	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Blastocatellales; f__Blastocatellaceae; g__unclassified_Blastocatellaceae; s__unclassified_Blastocatellaceae
ASV_61	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__KF-JG30-B3; g__KF-JG30-B3; s__unclassified_KF-JG30-B3
ASV_62	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__unclassified_RB41
ASV_63	d__Bacteria; p__Acidobacteria; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__Subgroup_10; s__uncultured_bacterium
ASV_64	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__unclassified_RB41
ASV_65	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Variovorax; s__unclassified_Variovorax
ASV_66	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__unclassified_Sphingomonas
ASV_67	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Nitrosomonadaceae; g__MND1; s__unclassified_MND1
ASV_68	d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96; s__unclassified_KD4-96
ASV_69	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__uncultured; s__unclassified_uncultured
ASV_70	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__unclassified_Subgroup_6
ASV_71	d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured_alpha
ASV_72	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__CCD24; f__CCD24; g__CCD24; s__unclassified_CCD24
ASV_73	d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96; s__unclassified_KD4-96
ASV_74	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__unclassified_Subgroup_6
ASV_75	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Ensifer; s__unclassified_Ensifer
ASV_76	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__uncultured; s__unclassified_uncultured
ASV_77	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__uncultured; s__unclassified_uncultured
ASV_78	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__unclassified_Sphingomonas
ASV_79	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__unclassified_Subgroup_6
