	H1_1	H1_2	H1_3	H1_4	H1_5	H1_6	H2_1	H2_2	H2_3	H2_4	H2_5	H2_6	H3_1	H3_2	H3_3	H3_4	H3_5	H3_6	BS1	BS2	BS3
ASV_71	26	37	31	22	24	16	34	27	22	22	17	0	35	0	29	47	20	26	12	41	29
ASV_72	20	24	19	14	25	30	40	21	21	24	20	27	10	12	39	11	0	26	23	29	29
ASV_73	21	32	14	19	23	21	0	28	0	30	21	41	18	0	28	36	0	24	17	0	25
ASV_74	22	22	19	23	18	18	12	11	19	32	18	25	25	20	21	21	31	32	11	35	33
ASV_75	16	28	23	17	21	19	26	11	11	20	12	17	15	9	16	17	24	17	11	38	34
ASV_76	0	0	21	0	37	9	14	26	21	0	13	16	9	0	116	34	23	10	83	27	6
ASV_77	0	8	13	23	19	18	0	37	16	26	165	25	18	13	62	0	8	0	15	0	0
ASV_78	3	5	32	0	50	47	52	18	23	14	11	58	10	2	46	12	0	47	54	10	13
ASV_79	16	38	15	47	17	0	0	10	34	30	21	19	21	0	22	35	28	28	23	0	15
ASV_80	11	28	28	19	0	11	23	22	27	33	20	17	15	17	29	23	13	17	19	13	14
ASV_81	10	13	35	20	21	27	14	31	16	20	27	32	9	18	30	27	28	27	31	26	0
ASV_82	13	27	19	16	22	14	24	21	22	24	24	25	10	15	37	22	21	26	17	30	28
ASV_83	0	0	15	0	10	0	16	48	36	43	0	60	0	5	14	0	12	0	16	18	22
ASV_84	13	11	0	18	21	18	16	16	18	0	0	14	21	6	10	38	18	0	25	43	48
ASV_85	11	12	30	14	8	13	28	23	28	23	34	27	35	11	19	40	22	5	13	26	21
ASV_86	23	16	16	21	22	10	18	29	22	17	32	19	22	12	26	15	21	23	22	24	26
ASV_87	0	18	35	0	31	24	27	37	26	25	16	24	17	18	35	0	26	0	17	0	0
ASV_88	4	18	12	14	0	13	19	20	10	27	10	30	29	3	22	26	14	17	22	44	61
ASV_89	21	11	21	0	24	22	33	20	21	17	28	0	28	22	32	0	0	33	26	27	0
ASV_90	16	39	11	19	21	7	0	22	16	29	20	19	23	10	16	42	17	19	20	0	0
ASV_91	17	14	14	23	0	6	15	20	16	21	17	16	41	6	31	16	19	18	15	23	15
ASV_92	25	26	20	0	12	12	16	20	25	23	19	11	21	13	23	16	25	17	29	9	14
ASV_93	28	48	38	49	15	6	0	13	10	36	12	20	16	0	0	20	24	21	24	10	26
ASV_94	41	22	0	30	33	23	16	29	39	24	34	25	44	22	32	22	0	0	15	37	18
ASV_95	26	30	17	25	21	20	16	0	26	27	23	21	14	0	19	19	21	31	8	0	40
ASV_96	21	29	22	24	24	13	7	35	21	20	16	24	20	0	21	43	30	22	0	16	0
ASV_97	22	14	0	25	20	22	22	10	24	34	23	30	14	12	0	0	0	0	25	40	0
ASV_98	30	0	27	0	73	20	18	15	22	0	16	0	0	43	0	0	24	35	25	0	16
ASV_99	16	16	19	0	18	13	39	24	29	18	14	13	12	33	20	16	8	33	20	24	16
ASV_100	19	19	23	20	19	55	0	0	35	16	23	35	8	0	27	54	0	18	31	25	18
ASV_101	63	12	14	15	28	56	3	9	21	10	15	23	5	25	17	22	33	18	14	16	12
ASV_102	14	18	16	14	17	13	15	27	33	19	24	11	21	0	19	25	11	13	35	0	16
ASV_103	24	25	17	26	19	0	3	15	20	21	13	21	17	0	29	19	31	16	21	0	15
ASV_104	13	29	21	20	21	18	25	23	19	11	15	5	19	16	16	29	21	23	11	20	0
ASV_105	15	28	20	15	9	8	6	12	0	26	29	19	24	14	20	17	11	11	16	23	31
ASV_106	28	29	47	14	25	0	33	34	0	22	21	0	0	9	44	62	10	15	0	18	0
ASV_107	16	30	0	0	19	12	10	35	18	25	0	24	34	0	21	25	31	21	21	0	0
ASV_108	25	11	12	17	14	7	36	15	18	25	36	22	14	6	23	10	9	22	15	20	19
ASV_109	14	42	14	22	0	15	17	23	12	15	23	31	21	6	49	68	21	0	17	0	0
ASV_110	47	11	18	10	15	70	5	9	24	18	20	17	6	16	9	14	30	15	10	19	13
ASV_111	0	35	0	25	57	22	15	27	19	0	0	0	0	14	20	28	15	0	13	0	42
ASV_112	22	11	10	11	16	11	23	20	22	15	15	21	20	15	20	24	15	22	22	23	0
ASV_113	26	13	16	0	16	9	0	27	18	60	15	0	25	0	28	0	24	0	14	0	30
ASV_114	0	16	37	0	18	0	17	18	27	28	0	19	35	0	31	22	0	33	18	47	45
ASV_115	21	26	9	38	12	13	19	18	19	15	12	35	22	0	18	24	0	7	23	6	53
ASV_116	9	0	19	12	19	13	35	64	19	19	25	23	0	34	37	0	0	19	62	0	0
ASV_117	18	23	27	21	27	30	34	0	17	17	0	18	20	0	24	24	0	0	20	36	0
ASV_118	22	31	42	44	7	4	12	20	28	15	11	21	14	0	21	18	35	24	11	9	8
ASV_119	22	13	16	28	9	10	17	22	23	12	16	15	18	5	19	20	16	12	18	9	10
ASV_120	21	12	8	0	14	9	23	43	16	30	0	11	10	13	15	29	0	18	9	22	16
ASV_121	22	0	9	0	28	0	0	0	24	0	15	0	0	25	0	48	13	40	0	38	41
ASV_122	16	19	18	13	15	9	14	10	13	19	20	12	16	0	12	13	8	31	20	14	12
ASV_123	0	32	20	9	19	0	0	15	19	15	0	0	46	0	0	0	9	28	0	0	0
ASV_124	11	18	26	12	10	15	18	16	0	12	16	11	23	13	21	0	10	19	12	8	11
ASV_125	16	18	0	28	0	0	0	10	23	27	21	24	18	0	19	16	30	21	9	0	0
ASV_126	19	39	30	23	0	0	20	27	0	16	0	15	38	0	0	28	17	29	0	0	30
ASV_127	16	21	14	0	14	0	0	31	23	26	24	0	19	25	24	0	0	36	41	0	0
ASV_128	13	11	16	10	33	26	0	13	15	13	6	18	16	4	20	17	0	14	16	17	39
ASV_129	26	6	7	15	17	9	16	17	13	5	10	11	19	1	6	14	19	17	12	5	17
ASV_130	25	25	0	0	21	72	23	0	0	27	0	30	0	0	22	0	0	0	0	41	51
ASV_131	14	10	28	12	18	15	15	20	11	14	24	21	20	15	23	16	0	13	15	20	11
ASV_132	18	12	21	0	33	20	17	16	0	11	17	17	12	0	14	17	0	0	11	24	8
ASV_133	20	0	0	30	46	0	21	36	20	33	0	9	28	0	0	0	0	26	10	0	0
ASV_134	15	0	25	0	14	20	10	26	12	15	24	30	19	14	11	23	0	32	13	3	11
ASV_135	12	1	22	33	26	3	33	30	24	36	33	8	13	12	24	0	41	4	27	24	14
ASV_136	10	16	0	11	19	16	14	15	19	8	19	19	18	3	13	22	9	18	20	17	20
ASV_137	12	11	13	32	12	15	8	15	18	18	0	12	20	0	34	43	42	0	14	0	15
ASV_138	14	0	8	32	0	0	21	11	22	16	21	19	16	0	0	9	25	15	7	21	0
ASV_139	15	19	17	18	96	0	15	23	20	10	0	26	17	0	0	21	23	0	0	23	30
ASV_140	13	17	14	0	17	22	20	17	21	17	6	0	0	10	14	32	0	11	24	27	39
ASV_141	16	36	0	0	0	42	0	0	0	0	0	52	0	0	0	40	0	0	0	0	89
ASV_142	17	28	10	0	0	0	0	0	29	13	11	12	23	0	29	25	0	0	16	0	24
ASV_143	16	11	14	0	15	16	34	8	15	10	15	17	23	3	22	0	0	23	15	22	36
ASV_144	17	18	19	13	13	13	19	16	10	16	25	9	21	10	19	12	14	16	11	14	14
ASV_145	0	0	25	0	32	24	15	19	24	10	58	31	14	28	16	18	19	0	84	17	0
ASV_146	17	0	0	0	30	21	37	0	15	19	0	0	13	14	0	0	0	42	0	25	0
ASV_147	12	18	13	4	10	23	7	10	0	0	0	25	4	0	7	23	22	0	53	16	41
ASV_148	0	0	0	17	27	48	19	12	28	41	0	39	0	15	15	0	0	35	23	0	40
ASV_149	10	41	0	35	0	32	9	0	0	0	0	8	11	0	0	48	0	0	0	12	88
ASV_150	0	15	2	18	16	19	16	21	17	21	17	0	0	14	17	14	17	0	18	23	10
ASV_151	20	9	5	14	25	14	13	16	18	14	4	10	9	11	18	7	0	8	16	15	12
ASV_152	15	18	24	0	0	0	21	0	14	30	26	0	17	20	0	24	0	0	16	0	32
ASV_153	16	19	0	0	11	19	0	27	0	25	0	13	23	6	47	0	26	15	24	18	0
ASV_154	26	21	36	21	14	11	0	17	7	23	18	14	19	0	10	31	0	11	0	0	0
ASV_155	0	41	17	0	0	10	17	18	26	8	0	0	43	10	0	32	39	0	0	0	23
ASV_156	15	0	13	12	12	23	8	11	11	18	11	17	18	0	15	9	15	8	15	9	13
ASV_157	10	0	29	0	18	16	14	0	0	20	23	23	0	22	17	25	0	26	23	0	45
ASV_158	7	23	25	27	0	0	33	17	18	24	0	13	15	0	20	20	23	0	0	0	20
ASV_159	12	11	0	18	0	17	27	21	23	18	16	19	15	0	17	18	0	9	24	13	36
ASV_160	0	17	12	28	19	0	14	22	0	17	0	17	11	15	30	0	0	12	22	0	0
ASV_161	19	9	0	19	0	17	0	15	17	0	0	22	26	14	0	23	23	57	0	0	0
ASV_162	0	7	11	0	0	10	10	17	11	14	0	0	0	77	0	0	0	24	12	0	0
ASV_163	10	0	10	17	9	16	17	19	0	24	18	15	15	12	34	15	0	11	36	0	0
ASV_164	10	11	12	5	23	35	7	10	11	12	15	5	26	15	10	14	9	8	20	4	9
ASV_165	15	15	16	10	13	12	24	11	12	0	25	16	19	0	18	0	7	14	13	0	15
ASV_166	0	31	10	0	1	0	22	20	0	0	10	0	45	0	15	28	25	12	11	0	0
ASV_167	13	9	0	0	15	14	19	0	14	13	27	15	10	0	0	10	9	14	0	21	21
ASV_168	18	11	11	20	10	20	8	0	12	13	10	16	10	13	26	3	14	0	17	13	26
ASV_169	7	0	15	11	34	0	0	12	9	4	0	6	9	18	0	0	0	18	6	0	0
ASV_170	8	3	20	8	18	4	1	11	10	24	39	24	0	59	22	0	9	7	35	6	0
ASV_171	5	10	22	0	7	14	0	11	7	14	15	14	13	0	26	9	0	14	17	9	23
ASV_172	8	13	18	0	13	7	0	0	22	20	0	12	0	0	18	25	9	9	7	0	0
ASV_173	12	16	21	14	11	0	10	22	24	19	0	14	18	0	25	14	0	15	16	14	13
ASV_174	0	34	20	0	0	0	0	43	0	0	28	0	19	0	38	29	0	0	26	0	0
ASV_175	0	23	56	0	28	33	23	0	18	0	21	0	0	0	20	0	0	27	0	12	20
ASV_176	16	0	13	0	0	11	25	16	11	22	10	24	7	15	40	0	0	24	38	0	0
ASV_177	13	5	46	0	11	7	0	9	7	6	13	11	8	101	26	9	10	11	18	10	0
ASV_178	21	8	13	35	6	0	0	10	9	10	16	13	16	0	7	44	19	6	5	6	7
ASV_179	14	14	14	17	16	13	0	18	19	0	17	25	19	10	0	17	19	20	25	0	16
ASV_180	21	11	18	0	11	15	8	8	10	7	21	7	6	15	15	8	20	15	36	10	18
ASV_181	11	3	7	0	8	18	22	28	16	34	18	20	11	12	19	0	6	5	28	22	0
ASV_182	17	16	12	27	7	0	8	0	35	23	5	0	19	0	0	6	34	19	8	0	0
ASV_183	9	6	6	14	7	16	25	10	12	15	21	19	8	9	8	11	3	9	9	12	6
ASV_184	21	0	0	0	32	19	0	27	0	30	17	0	12	7	0	27	0	0	13	20	0
ASV_185	13	0	0	0	14	0	0	0	0	0	0	0	11	116	0	0	0	40	0	0	0
ASV_186	0	21	0	23	0	0	0	26	18	0	0	15	16	6	22	39	0	11	14	0	0
ASV_187	0	9	0	0	21	19	14	11	16	20	24	10	4	16	34	15	0	0	22	0	0
ASV_188	8	16	11	8	17	4	4	13	13	8	11	11	11	12	26	0	12	5	16	7	11
ASV_189	4	20	14	8	25	12	0	0	15	12	19	11	4	0	18	0	0	10	10	12	12
ASV_190	6	11	13	19	14	5	0	14	18	10	0	12	20	0	11	26	14	13	13	10	9
ASV_191	15	13	7	2	14	9	7	13	17	14	7	11	8	28	19	0	0	14	2	18	10
ASV_192	13	7	14	19	5	9	0	17	17	13	18	15	16	4	16	11	16	10	8	6	6
ASV_193	0	11	58	9	14	0	0	11	16	0	0	14	9	0	17	0	16	0	0	21	21
ASV_194	14	9	0	0	13	23	30	0	13	18	12	16	0	8	16	0	0	16	0	17	50
ASV_195	0	0	14	0	0	15	0	28	9	6	4	33	0	0	18	0	0	20	21	18	0
ASV_196	0	0	15	0	0	0	20	0	20	0	32	14	24	18	0	18	0	23	26	33	0
ASV_197	10	13	16	9	18	0	0	19	13	17	17	14	13	0	0	10	19	19	0	0	11
