	H1_1	H1_2	H1_3	H1_4	H1_5	H1_6	H2_1	H2_2	H2_3	H2_4	H2_5	H2_6	H3_1	H3_2	H3_3	H3_4	H3_5	H3_6	BS1	BS2	BS3
ASV_2646	0	0	0	0	0	18	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2647	0	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0	0	0
ASV_2648	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
ASV_2651	0	3	0	10	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
ASV_2652	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
ASV_2653	0	2	1	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0
ASV_2654	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2655	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2656	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2657	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2658	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	6	0	0	0	0
ASV_2659	0	0	0	0	0	0	0	0	0	5	5	6	0	0	0	0	0	0	3	0	0
ASV_2660	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2661	7	0	0	0	0	0	0	0	7	0	10	0	0	0	0	0	0	0	0	0	0
ASV_2662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
ASV_2663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0
ASV_2664	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV_2666	7	0	0	0	0	0	0	6	2	1	0	0	0	0	0	0	0	0	0	0	0
ASV_2667	0	9	0	0	0	0	0	0	8	0	0	0	0	0	0	0	6	0	0	0	0
ASV_2668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
ASV_2669	0	0	0	0	1	1	0	1	1	0	1	1	0	1	1	8	2	0	3	0	0
ASV_2670	0	0	0	0	0	0	0	1	0	2	4	0	0	1	7	2	0	0	0	1	0
ASV_2671	0	0	0	0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	7	0
ASV_2672	10	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
ASV_2673	0	0	0	0	8	0	3	0	0	0	0	2	0	9	0	0	0	0	2	0	0
ASV_2674	3	0	0	5	0	0	0	0	0	6	0	2	1	0	0	5	0	0	5	0	0
ASV_2676	0	0	0	0	0	0	0	7	11	0	0	0	4	0	0	10	0	0	0	0	0
ASV_2677	0	0	4	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	7	0	0
ASV_2678	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_2679	0	0	0	0	0	0	10	0	0	0	0	0	0	0	8	0	0	0	5	0	0
ASV_2680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
ASV_2681	0	0	0	0	1	2	0	2	0	0	2	1	0	0	0	0	0	0	2	1	0
ASV_2682	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
ASV_2683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
ASV_2684	0	0	0	0	3	0	0	0	1	2	3	1	0	0	0	0	0	0	2	0	0
ASV_2685	14	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2686	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5
ASV_2687	0	0	0	0	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
ASV_2688	0	0	4	0	0	0	0	0	0	0	0	0	0	8	0	0	0	6	0	0	0
ASV_2689	0	0	0	9	4	0	0	0	0	0	0	3	0	0	0	7	0	0	0	0	4
ASV_2690	0	0	0	0	0	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2691	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	11	0	0	0	0	0
ASV_2692	0	0	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
ASV_2693	1	1	1	0	2	0	0	3	4	0	2	1	0	0	0	1	7	0	0	0	0
ASV_2694	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2695	4	0	0	0	3	0	0	0	9	0	0	0	0	5	0	0	0	0	0	0	0
ASV_2696	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2697	0	7	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	15	0	0
ASV_2698	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2699	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2700	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
ASV_2701	0	0	7	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2702	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
ASV_2703	0	0	5	0	0	9	0	0	0	0	0	0	0	5	0	0	0	0	6	0	0
ASV_2704	0	0	13	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
ASV_2705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0
ASV_2706	0	0	0	5	0	0	0	0	3	0	0	4	5	0	0	0	0	0	0	0	0
ASV_2707	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2709	0	0	0	2	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	5	0
ASV_2710	0	0	0	0	0	0	0	0	0	0	7	0	0	0	10	0	0	0	0	0	0
ASV_2711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	12
ASV_2713	0	0	0	0	0	0	6	6	0	0	5	0	10	0	0	0	0	0	0	0	0
ASV_2715	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2716	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	8
ASV_2717	0	0	0	6	0	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0
ASV_2718	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2719	0	0	0	0	0	0	0	0	5	0	0	13	0	0	0	0	14	0	0	0	0
ASV_2720	0	0	0	0	0	0	0	0	0	0	10	0	0	15	0	0	0	4	0	0	0
ASV_2721	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
ASV_2722	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	10	0	0	0
ASV_2723	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_2724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
ASV_2726	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ASV_2727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0
ASV_2728	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	19	0
ASV_2730	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
ASV_2731	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0
ASV_2732	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0
ASV_2733	1	0	0	0	3	0	0	0	0	0	4	0	1	2	0	0	0	0	0	1	0
ASV_2734	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
ASV_2736	0	0	0	0	0	0	2	4	0	2	3	1	0	0	0	1	1	0	0	0	0
ASV_2737	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	2	0	0	0	0	6
ASV_2738	1	1	0	1	1	0	0	3	1	0	1	1	0	2	2	3	0	0	2	0	0
ASV_2739	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	0	0
ASV_2740	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ASV_2741	0	0	0	0	0	0	4	6	0	0	3	0	0	7	0	0	0	0	0	0	0
ASV_2742	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2744	0	0	0	9	0	0	10	0	6	0	0	0	4	0	0	0	0	0	0	0	0
ASV_2746	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0
ASV_2747	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
ASV_2749	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0	0	5	0	0	0	0
ASV_2751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
ASV_2752	0	0	0	0	0	3	2	0	0	3	0	0	0	0	3	0	0	0	0	4	2
ASV_2753	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2754	2	0	3	0	0	4	0	4	2	0	0	0	1	0	0	0	0	0	0	0	0
ASV_2755	2	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
ASV_2756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0
ASV_2757	0	1	0	0	9	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2759	2	2	0	1	0	0	0	0	1	0	0	0	5	0	0	0	3	7	2	2	2
ASV_2760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
ASV_2762	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0
ASV_2765	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2766	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2767	0	0	0	0	16	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
ASV_2768	0	0	0	0	0	0	7	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ASV_2769	2	0	0	8	0	0	0	0	0	0	0	2	5	0	0	0	7	0	0	0	0
ASV_2770	12	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
ASV_2771	20	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2772	5	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2773	0	8	0	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2774	0	0	1	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
ASV_2776	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
ASV_2777	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
ASV_2778	0	0	0	0	0	0	0	0	8	0	13	0	0	7	0	0	0	0	0	0	0
ASV_2779	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2780	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2781	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2782	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	15	0	0	0	0	0
ASV_2783	0	0	0	0	0	0	0	0	11	0	0	0	0	17	0	0	0	0	0	0	0
ASV_2784	0	0	0	0	0	0	0	0	12	0	1	0	11	0	0	0	0	0	0	0	0
ASV_2785	0	0	0	0	1	0	0	0	0	0	0	0	5	0	9	6	0	0	0	0	0
ASV_2786	0	0	0	0	0	11	0	0	0	0	0	0	0	9	0	0	0	6	0	0	0
ASV_2787	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
ASV_2788	0	0	0	0	7	0	0	0	0	0	0	0	0	5	0	8	0	0	0	0	0
ASV_2789	0	0	0	8	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ASV_2790	0	0	0	0	0	0	0	0	0	4	12	0	0	0	0	0	0	0	0	0	0
ASV_2791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0
ASV_2792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0
ASV_2793	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
ASV_2794	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2795	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
ASV_2798	0	0	0	0	0	0	8	0	0	0	0	0	9	0	0	0	0	0	0	0	0
ASV_2799	0	1	0	0	0	0	0	0	0	0	3	1	0	0	1	1	2	0	0	0	0
ASV_2800	0	0	0	1	0	5	1	0	0	0	0	0	1	0	1	1	1	0	0	3	0
ASV_2801	0	0	3	0	1	1	0	1	0	0	0	0	2	1	0	2	1	0	1	1	0
ASV_2802	0	3	0	1	1	0	0	0	0	0	0	1	3	0	0	0	2	0	0	0	2
ASV_2803	1	0	2	0	0	3	4	2	0	0	0	0	1	0	1	2	0	1	2	1	0
ASV_2804	0	1	2	0	0	0	0	1	1	0	0	0	2	0	0	5	0	0	1	0	0
ASV_2805	0	0	0	3	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	4	0
ASV_2806	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
ASV_2809	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
ASV_2810	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2813	0	0	7	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ASV_2814	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
ASV_2815	0	2	0	0	1	3	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ASV_2816	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ASV_2817	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	5	0
ASV_2818	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2819	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2820	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_2821	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1
ASV_2824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5
ASV_2825	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
ASV_2826	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2827	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	5	4	0	0	0
ASV_2828	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	5	0	0
ASV_2829	0	1	2	3	0	0	0	1	1	0	0	0	1	1	0	2	0	1	0	0	0
ASV_2830	0	0	0	0	0	0	0	0	0	9	0	6	0	0	0	0	0	0	0	1	0
ASV_2831	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2832	0	0	0	0	0	0	9	0	0	0	0	0	0	0	8	0	0	0	0	0	0
ASV_2833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
ASV_2834	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	5	0	0
ASV_2835	6	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ASV_2836	8	0	2	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ASV_2837	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_2838	0	6	0	0	0	0	0	3	0	0	0	0	7	0	0	0	0	5	0	0	0
ASV_2839	0	0	11	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2842	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	5	7	0
ASV_2843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0
ASV_2845	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
ASV_2846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0
ASV_2847	0	0	0	0	0	4	2	3	0	0	5	0	0	3	0	0	0	0	0	0	0
ASV_2848	0	0	0	0	9	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2849	0	0	0	0	0	0	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0
ASV_2850	0	0	0	0	0	0	0	0	8	0	2	3	0	0	0	0	0	0	0	0	0
ASV_2851	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0
ASV_2852	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0
ASV_2853	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_2856	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
ASV_2857	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2858	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2862	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2863	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2864	0	0	13	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
ASV_2865	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2866	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	2	0	0	1
ASV_2867	4	0	2	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_2868	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2870	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0
ASV_2871	0	0	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_2872	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0
ASV_2874	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
ASV_2875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	2
ASV_2876	0	0	1	1	1	0	0	3	0	1	0	1	1	0	4	0	0	2	1	0	0
ASV_2878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
ASV_2879	0	0	4	0	0	3	0	0	0	4	0	7	0	0	0	0	0	0	0	0	0
ASV_2880	0	0	1	2	0	0	2	0	0	0	2	0	0	0	0	1	0	2	0	0	6
ASV_2881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	7	0
ASV_2882	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
ASV_2883	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	6	0	0	0
ASV_2884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
ASV_2885	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	4	0
ASV_2888	0	0	0	0	0	0	0	5	6	0	0	6	0	0	0	0	0	0	0	0	0
ASV_2889	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2890	0	0	3	0	0	0	0	0	0	0	0	4	0	1	2	0	0	0	5	1	0
ASV_2891	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	5
ASV_2892	0	0	0	0	11	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2895	0	0	1	1	1	2	0	4	2	0	0	0	0	0	0	0	0	0	2	0	4
ASV_2896	4	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0	0	0	0	0
ASV_2897	12	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	9
ASV_2898	5	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	5	0	0	0
ASV_2899	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2900	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
ASV_2901	9	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2902	0	3	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
ASV_2903	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2904	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2905	0	0	11	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
ASV_2907	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	5	0	0	0	0
ASV_2908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5
ASV_2910	0	0	0	0	0	0	6	0	0	7	0	5	0	0	1	0	0	0	3	0	0
ASV_2911	0	0	0	0	0	0	4	0	10	0	0	9	0	0	0	0	0	0	0	0	0
ASV_2912	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2913	0	0	0	9	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	3	1
ASV_2914	0	0	0	0	0	0	0	0	4	0	0	0	0	19	0	0	0	0	0	0	0
ASV_2915	0	0	0	0	0	0	0	0	0	0	0	0	3	13	0	0	0	0	0	0	0
ASV_2916	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	15	0	0	0	0	0
ASV_2917	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
ASV_2918	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	11	5
ASV_2919	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
ASV_2920	0	0	0	0	0	0	0	0	0	0	0	9	0	6	13	0	0	0	0	0	0
ASV_2921	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
ASV_2922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	2	0
ASV_2923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0
ASV_2924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0
ASV_2925	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2926	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0
ASV_2928	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	8
ASV_2930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ASV_2931	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	0	0	0
ASV_2932	0	1	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2933	0	3	0	0	6	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0
ASV_2935	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	1	5
ASV_2936	5	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	10	0	1	0	0
ASV_2937	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	3	0	0	0
ASV_2938	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2939	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
ASV_2940	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	0	6	0
ASV_2941	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_2942	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ASV_2944	0	0	0	0	0	4	0	0	0	4	4	6	0	0	0	0	0	0	0	0	0
ASV_2945	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2946	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2947	0	0	0	7	1	0	0	6	0	0	0	0	0	0	0	1	0	0	1	0	0
ASV_2948	0	0	2	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	4	0	8
ASV_2949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
ASV_2950	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2951	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2952	0	0	0	0	6	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ASV_2953	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2954	2	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_2957	1	0	0	0	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0
ASV_2958	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	5	0	0
ASV_2959	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2960	1	0	0	0	4	0	0	0	3	0	0	0	0	0	5	0	0	1	0	0	0
ASV_2961	5	0	0	0	0	0	4	4	0	0	0	0	0	0	16	0	0	0	0	0	0
ASV_2962	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2963	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2964	0	0	4	0	0	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ASV_2965	0	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	0	0	0
ASV_2966	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
ASV_2968	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ASV_2969	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
ASV_2970	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
